Year,Celtics,Nets,Bucks,Bulls,Cavs,Nuggets,Clippers,Hawks,Heat,Hornets,Kings,Knicks,Lakers,Magic,Mavs,Grizz,Pacers,Pelicans,76ers,Pistons,Blazers,Raptors,Rockets,Spurs,Suns,Thunder,Jazz,Warriors,Wizards,Wolves,Pelicans,NBA
2004,1,8,2,5,1,2,1,2,2,12,13,2,13,6,1,3,5,3,3,25,2,1,3,8,1,11,3,1,9,8,3,13
2005,2,3,2,8,1,3,1,2,5,8,2,2,2,6,6,3,5,2,4,33,3,1,5,9,8,100,3,1,23,1,2,13
2006,1,7,2,7,4,2,10,2,5,8,4,2,5,5,10,2,2,2,3,46,3,1,2,9,14,14,2,1,12,1,2,15
2007,1,6,2,15,4,2,1,2,1,7,1,2,3,7,4,2,1,1,2,32,4,1,3,12,11,20,33,6,8,1,1,16
2008,13,3,1,7,4,2,1,4,1,33,1,3,13,15,2,2,1,13,3,32,3,1,3,16,3,20,19,1,11,1,12,18
2009,11,3,1,15,10,20,2,5,2,8,2,2,18,99,4,2,1,2,2,7,5,1,10,1,2,1,3,1,8,1,2,18
2010,17,5,2,10,8,2,2,5,1,8,2,4,19,76,1,2,1,2,3,5,3,1,1,5,20,2,14,1,11,1,2,18
2011,14,3,1,100,2,1,2,10,42,11,3,5,19,12,27,28,2,3,2,5,4,1,2,2,2,18,5,1,19,1,3,31
2012,20,13,1,26,1,10,21,5,28,18,5,16,23,20,4,13,18,3,27,5,3,1,1,23,2,27,7,1,6,1,3,33
2013,5,10,1,64,2,4,8,5,49,23,10,34,5,8,2,49,42,11,3,7,3,1,5,35,2,14,3,10,8,1,11,34
2014,2,29,2,13,2,1,61,12,48,24,13,8,6,8,11,12,58,4,4,9,32,3,7,55,2,43,5,5,55,1,4,41
2015,2,4,3,79,35,1,59,46,3,12,3,6,5,9,2,33,2,6,6,7,3,1,45,16,1,2,3,29,52,1,6,40
2016,3,3,2,12,42,1,5,12,25,27,5,9,8,16,2,4,6,9,10,8,29,37,4,36,2,100,5,83,8,1,9,62
2017,44,3,2,11,47,1,6,3,3,10,4,7,6,10,2,3,3,5,9,9,3,5,22,94,2,4,35,34,100,1,5,58
2018,69,2,3,11,91,1,3,3,3,13,4,9,6,11,2,3,4,39,57,12,3,12,100,8,3,5,47,68,9,1,40,82
2019,16,4,59,10,3,25,7,4,3,11,4,12,14,9,2,5,2,20,68,8,100,66,40,7,3,3,7,61,8,1,19,84
2020,2,3,1,23,1,1,3,2,2,55,2,5,5,9,1,2,2,4,4,9,3,1,2,3,1,1,7,2,10,1,4,13
2021,14,41,14,13,2,14,26,19,13,52,7,41,40,13,16,38,8,20,40,12,33,3,3,10,23,3,56,17,68,2,19,68
2022,78,7,41,11,2,3,4,4,57,17,7,6,8,11,57,100,3,9,65,10,4,2,2,4,44,2,9,56,8,2,9,84
2023,100,4,5,11,2,85,4,3,94,16,9,38,100,10,3,12,2,6,99,11,4,2,3,7,33,2,6,49,8,1,6,100
2024,53,4,10,8,17,89,17,4,7,16,4,100,8,65,100,5,100,8,33,9,3,2,2,5,4,31,6,3,7,100,7,84